timestamp,ip,protocol,port,hostname,tag,mac_address,asn,geo,region,city,workgroup,machine_name,username,naics,sic,sector
8/1/2020 3:10,203.162.10.110,udp,137,static.vnpt.vn,netbios,00-0C-29-D7-4F-92,45899,VN,HA NOI,HANOI,WORKGROUP,KC0108-W2012,,517311,,Communications
8/1/2020 3:10,14.225.74.12,udp,137,,netbios,00-50-56-BC-CF-4D,45899,VN,HA NOI,HANOI,WORKGROUP,WIN-AH2LB59BFD5,,517311,,Communications
8/1/2020 3:10,222.255.121.190,udp,137,mail3.hrvietnam.com,netbios,00-50-56-B8-73-CE,7643,VN,HA NOI,HANOI,WORKGROUP,3CDCCA69A0D,,517311,,Communications
8/1/2020 3:10,222.255.175.79,udp,137,mail.vikoda.com.vn,netbios,00-50-56-B2-07-03,45899,VN,DA NANG,DA NANG,,WIN-KTAJ2EELOMA,,517311,,Communications
8/1/2020 3:10,103.74.123.135,udp,137,sv123135.bkns.vn,netbios,D6-2C-21-75-52-89,135967,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 3:10,14.225.7.85,udp,137,static.vnpt.vn,netbios,00-0C-29-02-7D-A1,135905,VN,HA NOI,HANOI,WORKGROUP,WIN-OHD9MUPA2JL,,517311,,Communications
8/1/2020 3:10,113.164.16.202,udp,137,static.vnpt.vn,netbios,50-9A-4C-31-71-68,45899,VN,DA NANG,DA NANG,WORKGROUP,NGOMINHDUC,,517311,,Communications
8/1/2020 3:10,202.158.247.81,udp,137,,netbios,00-50-56-A3-D2-17,135918,VN,DA NANG,DA NANG,WORKGROUP,WIN19048,,0,,Communications
8/1/2020 3:10,103.104.117.143,udp,137,,netbios,FA-16-3E-1D-8B-37,63765,VN,HA NOI,HANOI,WORKGROUP,IMAS,,0,,Communications
8/1/2020 3:10,123.16.58.59,udp,137,static.vnpt.vn,netbios,94-DE-80-4E-BD-6B,45899,VN,HA NOI,HANOI,WORKGROUP,DESKTOP-LO67RR5,,517311,,Communications
8/1/2020 3:10,103.89.85.16,udp,137,,netbios,00-0C-29-E8-76-22,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-1ODTLR1RIAQ,,0,,Communications
8/1/2020 3:10,27.72.123.13,udp,137,dynamic-ip-adsl.viettel.vn,netbios,00-1F-D0-53-D6-E8,7552,VN,HA NOI,HANOI,XXX,CCC,,517312,,Communications
8/1/2020 3:10,123.30.109.147,udp,137,,netbios,00-50-56-99-7C-91,7643,VN,HA NOI,HANOI,WORKGROUP,TWINDOVESGOLF,,517311,,Communications
8/1/2020 3:10,49.236.210.76,udp,137,,netbios,00-50-56-B1-9F-D7,135918,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 3:10,101.53.17.238,udp,137,ci53.17-238.netnam.vn,netbios,00-00-00-00-00-00,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,MIANTDATA,MIANTDATA,0,,Communications
8/1/2020 3:10,202.158.246.246,udp,137,,netbios,00-50-56-A3-DB-FB,135918,VN,HA NOI,HANOI,WORKGROUP,WIN19995,,0,,Communications
8/1/2020 3:10,27.124.19.248,udp,137,,netbios,2C-76-8A-51-43-30,64050,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-R83IJN74DDD,,518210,,Communications
8/1/2020 3:10,103.116.106.117,udp,137,,netbios,D6-3B-CC-8C-46-E4,63731,VN,HA NOI,HANOI,,WIN-QLRU53S2SVA,,812112,,Communications
8/1/2020 3:10,112.78.3.38,udp,137,,netbios,00-1C-42-62-0B-49,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-JPPKLEIG5QG,,0,,Communications
8/1/2020 3:10,45.117.166.85,udp,137,,netbios,00-50-56-A3-E4-8A,45538,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN22062,,0,,Communications
8/1/2020 3:10,14.231.169.93,udp,137,,netbios,00-00-00-00-00-00,45899,VN,HA NOI,HANOI,WORKGROUP,LINKIT,LINKIT,517311,,Communications
8/1/2020 3:10,42.117.5.70,udp,137,,netbios,50-9A-4C-8D-2B-DF,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,TRANSVIET,TRANSVIET-FPT01,,517311,,Communications
8/1/2020 3:10,14.231.204.45,udp,137,static.vnpt.vn,netbios,50-65-F3-4B-C9-06,45899,VN,HA NOI,HANOI,,,,517311,,Communications
8/1/2020 3:10,171.244.139.132,udp,137,,netbios,FA-16-3E-CF-E8-DC,7552,VN,HA NOI,HANOI,WORKGROUP,607282-08,,517312,,Communications
8/1/2020 3:10,113.160.97.194,udp,137,static.vnpt.vn,netbios,00-00-00-00-00-00,45899,VN,HAI PHONG,HAI PHONG,WORKGROUP,AMP,AMP,517311,,Communications
8/1/2020 3:10,103.125.188.48,udp,137,,netbios,00-15-5D-D4-D4-E5,135905,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 3:10,101.96.76.180,udp,137,,netbios,EC-EB-B8-97-9A-95,24173,VN,HA NOI,HANOI,WORKGROUP,MAILSERVER,,0,,Communications
8/1/2020 3:10,202.158.245.248,udp,137,,netbios,00-50-56-A3-A9-33,135918,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN16221,,0,,Communications
8/1/2020 3:10,103.139.154.142,udp,137,,netbios,00-50-56-A3-37-67,135918,VN,HA NOI,HANOI,WORKGROUP,WIN19750,,0,,Communications
8/1/2020 3:10,103.88.123.2,udp,137,,netbios,00-25-90-04-DC-B7,135909,VN,BINH DUONG,DI AN,TTKT,SERVERTTKT,,0,,Communications
8/1/2020 3:10,202.158.245.67,udp,137,,netbios,00-50-56-A3-01-07,135918,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN22893,,0,,Communications
8/1/2020 3:10,202.158.247.1,udp,137,,netbios,00-50-56-A3-44-C9,135918,VN,DA NANG,DA NANG,WORKGROUP,WIN19036,,0,,Communications
8/1/2020 3:10,202.158.244.154,udp,137,,netbios,00-50-56-A3-9F-96,135918,VN,HA NOI,HANOI,WORKGROUP,WIN16551,,0,,Communications
8/1/2020 3:11,103.68.251.127,udp,137,,netbios,00-50-56-89-6D-AE,135905,VN,BINH DUONG,THU DAU MOT,WORKGROUP,WIN-RA1W1VJ4GG2,,0,,Communications
8/1/2020 3:11,103.139.154.179,udp,137,,netbios,00-50-56-A3-22-5F,135918,VN,HA NOI,HANOI,WORKGROUP,WIN14170,,0,,Communications
8/1/2020 3:11,103.151.238.2,udp,137,,netbios,00-50-56-A3-5D-FB,38245,VN,HA NOI,HANOI,WORKGROUP,WIN22899,,0,,Communications
8/1/2020 3:11,103.92.31.144,udp,137,,netbios,8A-FB-27-C3-FA-DA,56150,VN,HA NOI,HANOI,WORKGROUP,VPS6,,0,,Communications
8/1/2020 3:11,27.72.35.30,udp,137,dynamic-ip-adsl.viettel.vn,netbios,4C-CC-6A-00-05-D6,7552,VN,THANH HOA,THANH HOA,,,,517312,,Communications
8/1/2020 3:11,210.245.20.199,udp,137,,netbios,40-F2-E9-96-87-32,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,CA-APP,,517311,,Communications
8/1/2020 3:11,125.214.0.122,udp,137,,netbios,D4-85-64-63-33-E0,7552,VN,THAI NGUYEN,THAI NGUYEN,WORKGROUP,SERVER1,,517312,,Communications
8/1/2020 3:11,203.162.123.66,udp,137,jana.ramirezi.cc,netbios,00-50-56-BC-68-27,45899,VN,HA NOI,HANOI,,,,517311,,Communications
8/1/2020 3:11,202.158.244.20,udp,137,,netbios,00-50-56-A3-93-79,135918,VN,HA NOI,HANOI,WORKGROUP,WIN20054,,0,,Communications
8/1/2020 3:11,113.22.194.5,udp,137,,netbios,50-3E-AA-5C-1C-DF,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,DELL,,517311,,Communications
8/1/2020 3:11,14.190.58.97,udp,137,,netbios,00-00-00-00-00-00,45899,VN,HAI PHONG,HAI PHONG,WORKGROUP,DS418,DS418,517311,,Communications
8/1/2020 3:11,171.244.139.93,udp,137,,netbios,FA-16-3E-FA-BF-BF,7552,VN,HA NOI,HANOI,WORKGROUP,3444928-03,,517312,,Communications
8/1/2020 3:11,42.115.68.249,udp,137,,netbios,64-00-6A-01-6C-31,131178,VN,HA NOI,HANOI,WORKGROUP,BMSSERVER,,517311,,Communications
8/1/2020 3:11,113.160.187.246,udp,137,static.vnpt.vn,netbios,08-F1-EA-F4-77-7E,45899,VN,THANH HOA,THANH HOA,WORKGROUP,SERVER,,517311,,Communications
8/1/2020 3:11,103.232.120.222,udp,137,,netbios,00-A0-D1-EB-B1-78,56150,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-5TTIQ7RU15C,,0,,Communications
8/1/2020 3:11,210.211.125.211,udp,137,,netbios,00-25-90-C3-66-00,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,WIN-ZJJ3RXT8F7E,,0,,Communications
8/1/2020 3:11,45.117.166.66,udp,137,,netbios,00-50-56-A3-31-2B,45538,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN23130,,0,,Communications
8/1/2020 3:11,103.79.143.178,udp,137,,netbios,00-15-5D-3E-57-02,45899,VN,HA NOI,HANOI,,,,0,,Communications
8/1/2020 3:11,103.79.143.24,udp,137,,netbios,00-15-5D-8F-0A-87,45899,VN,HA NOI,HANOI,WORKGROUP,WIN-BAQ1V6HLRG7,,0,,Communications
8/1/2020 3:11,123.30.104.27,udp,137,static.vnpt.vn,netbios,D0-94-66-97-A4-FF,7643,VN,HA NOI,HANOI,MACROKIOSK,MKVN-GW01,,517311,,Communications
8/1/2020 3:11,115.84.182.50,udp,137,,netbios,00-1E-67-3A-B4-C5,38731,VN,HA NOI,HANOI,WORKGROUP,WIN-1RBRKP3NC8R,,0,,Communications
8/1/2020 3:11,51.81.64.75,udp,137,ip75.ip-51-81-64.us,netbios,02-00-00-18-B0-2D,16276,VN,VIET NAM,?,WORKGROUP,WIN-TLBBQAUA6ES,,518210,,
8/1/2020 3:11,103.28.35.182,udp,137,,netbios,00-50-56-A3-E7-6E,135918,VN,HA NOI,HANOI,WORKGROUP,WIN16230,,0,,Communications
8/1/2020 3:11,113.161.108.77,udp,137,static.vnpt.vn,netbios,14-91-82-62-4D-FA,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,,OFFICE,,517311,,Communications
8/1/2020 3:11,202.158.245.89,udp,137,,netbios,00-50-56-A3-45-21,135918,VN,BAC GIANG,BAC GIANG,WORKGROUP,WIN12009,,0,,Communications
8/1/2020 3:11,103.149.253.125,udp,137,,netbios,00-50-56-A3-7C-30,135918,VN,DONG THAP,CAO LANH,WORKGROUP,WIN21030,,0,,Communications
8/1/2020 3:11,14.251.27.202,udp,137,static.vnpt.vn,netbios,F8-DA-0C-04-51-D3,45899,VN,HAI PHONG,HAI PHONG,WORKGROUP,MAYCHU,,517311,,Communications
8/1/2020 3:11,115.73.217.9,udp,137,,netbios,00-00-00-00-00-00,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,WORKGROUP,TS5400DADE,TS5400DADE,517312,,Communications
8/1/2020 3:11,103.74.123.71,udp,137,sv123071.bkns.vn,netbios,EC-F4-BB-D9-07-70,135967,VN,HA NOI,HANOI,WORKGROUP,WIN-91NAUVBMJ37,,0,,Communications
8/1/2020 3:11,113.190.45.132,udp,137,,netbios,00-E0-4C-71-06-AB,45899,VN,HA NOI,HANOI,WORKGROUP,WIN-7QKTD0J8HTG,,517311,,Communications
8/1/2020 3:11,171.244.33.123,udp,137,,netbios,6C-2B-59-7F-03-4A,38731,VN,HA NOI,HANOI,WORKGROUP,WIN-VQQ1H0EU18L,,517312,,Communications
