timestamp,ip,protocol,port,hostname,asn,geo,region,city,version,clk_wander,clock,error,frequency,jitter,leap,mintc,noise,offset,peer,phase,poll,precision,processor,refid,reftime,rootdelay,rootdispersion,stability,state,stratum,system,tai,tc,naics,sic,sector
8/1/2020 3:39,14.161.15.133,udp,123,,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF63CF.80000160,,0,0,3,3,,0,,,,-10,unknown,INIT,0x00000000.00000000,0,0,,,16,UNIX,,6,517311,,Communications
8/1/2020 3:39,110.35.78.50,udp,123,,45546,VN,THAI NGUYEN,THAI NGUYEN,,,0xE2CF60A8.C24D996F,0,0,,3,,,,0,,4,,,0.0.0.0,0x00000000.00000000,0,0,,,16,cisco,,,0,,Communications
8/1/2020 3:39,61.14.236.161,udp,123,,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,0,0xE2CF6267.B6872CF8,,0,0,0,3,,0,,,,-10,unknown,172.20.30.71,0xE2CF3CE5.1C28F610,0,0,,,4,UNIX,,10,0,,Communications
8/1/2020 3:39,101.53.51.4,udp,123,ci53.51-4.netnam.vn,24173,VN,HO CHI MINH,THANH PHO HO CHI MINH,,,0xE2CF626B.23961A9E,0.08,22.37,,0,,,,14718,,6,,,202.151.175.18,0xE2CF6252.9601DC3A,39.29,53.89,,,4,cisco,,,0,,Communications
8/1/2020 3:39,203.162.233.190,udp,123,static.vnpt.vn,45899,VN,HA NOI,HANOI,,,0xE2CFB671.1A0C221F,0,0,,3,,,,0,,4,,,0.0.0.0,0x00000000.00000000,0,0,,,16,cisco,,,517311,,Communications
8/1/2020 3:39,103.205.97.71,udp,123,,63731,VN,HO CHI MINH,THANH PHO HO CHI MINH,4,,0xe2cf626e.064509f9,,8.942,0.977,0,,1.037,2.068,,,10,-10,unknown,172.20.30.71,0xe2cf618a.36595ad3,292.267,146.139,0.031,4,4,UNIX,,,0,,Communications
8/1/2020 3:39,123.25.60.26,udp,123,,45899,VN,HAI DUONG,HAI DUONG,ntpd 4.2.0-a Fri Aug  5 04:02:29 UTC 2016 (1),,0xe2ce1f04.b64ba309,,0,0.008,3,,,0,,,4,-17,octeon,INIT,0x00000000.00000000,0,99999.999,0,0,16,JUNOS12.3X48-D35.7,,,517311,,Communications
8/1/2020 3:39,111.91.232.159,udp,123,,45896,VN,HA NOI,HANOI,4,,0xe2cf626f.e30e6a9e,,14.048,0.977,0,,0.977,0.323,,,10,-10,unknown,111.91.235.232,0xe2cf6173.dcebf5b6,115.646,69.533,0.018,4,4,UNIX,,,0,,Communications
8/1/2020 3:39,14.186.166.71,udp,123,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,ntpd 4.2.4p4@1.1520 Tue Feb 19 10:06:54 UTC 2008 (1),,0xe2cf50c6.c5624320,,-15.444,0.004,0,,0.004,0,,,10,-18,armv5tel,127.127.1.0,0xe2cf50c0.31e79656,0,10.352,0,4,11,Linux/2.6.14,,,517311,,Communications
8/1/2020 3:39,203.113.134.149,udp,123,eoffice1.mic.gov.vn,7552,VN,HA NOI,HANOI,4,0,0xE2CF6274.03126EA0,,0,0,0,3,,0,,,,-10,unknown,216.239.35.8,0xE2CF3945.3A9FBF18,0,0,,,2,UNIX,,10,517312,,Communications
